ID_Atendimento,ID_Cliente,Tipo,Data,Tempo_Resposta,Nota_Satisfacao
1,52,Elogio,2023-10-17,887.4,2
2,93,Dúvida,2022-04-25,19.8,4
3,15,Reclamação,2022-01-26,4244.4,1
4,72,Elogio,2024-01-30,861.0,5
5,61,Reclamação,2022-10-09,692.4,1
6,21,Dúvida,2022-09-08,5394.599999999999,1
7,83,Dúvida,2022-08-17,5414.4,1
8,87,Elogio,2022-05-23,1533.6,3
9,75,Dúvida,2024-01-25,1798.8,3
10,75,Reclamação,2022-04-15,1071.0,1
11,88,Elogio,2023-11-24,3123.0,5
12,100,Reclamação,2024-01-29,717.0,4
13,24,Reclamação,2024-07-02,2009.4,4
14,3,Dúvida,2023-07-13,2512.8,2
15,22,Dúvida,2022-03-31,2823.0,5
16,53,Dúvida,2023-08-28,2805.6,3
17,2,Dúvida,2023-03-09,172.20000000000002,1
18,88,Dúvida,2022-02-02,1227.6000000000001,2
19,30,Elogio,2022-01-31,106.8,4
20,38,Reclamação,2022-04-06,1435.2,3
21,2,Reclamação,2022-08-12,1048.8,3
22,64,Reclamação,2022-08-27,3935.9999999999995,1
23,60,Reclamação,2023-06-02,778.2,4
24,21,Dúvida,2023-09-09,224.4,5
25,33,Reclamação,2022-01-28,277.8,3
26,76,Elogio,2023-07-29,2580.0,1
27,58,Elogio,2022-07-23,1733.4,5
28,22,Reclamação,2024-01-04,192.0,4
29,89,Reclamação,2023-10-28,158.4,3
30,49,Elogio,2023-12-20,2173.2,5
31,91,Elogio,2023-07-13,136.2,5
32,59,Dúvida,2023-03-06,3105.6,5
33,42,Elogio,2022-08-14,11025.0,3
34,92,Dúvida,2023-04-05,153.0,3
35,60,Dúvida,2023-08-27,159.60000000000002,2
36,80,Dúvida,2022-10-12,7767.6,4
37,15,Dúvida,2024-04-08,4221.0,1
38,62,Dúvida,2024-06-09,833.4000000000001,5
39,62,Reclamação,2022-01-07,3016.2000000000003,2
40,47,Elogio,2024-02-17,5295.6,1
41,62,Dúvida,2024-04-05,7683.6,2
42,51,Elogio,2022-06-13,2520.0,3
43,55,Elogio,2023-12-16,849.6,5
44,64,Dúvida,2023-03-09,157.20000000000002,1
45,3,Reclamação,2022-12-15,2702.4,1
46,51,Dúvida,2022-10-12,1471.2,1
47,7,Reclamação,2022-06-09,993.5999999999999,1
48,21,Elogio,2022-08-09,4263.0,1
49,73,Reclamação,2024-09-07,212.4,2
50,39,Reclamação,2024-02-21,1221.6,5
51,18,Reclamação,2022-12-11,20.400000000000002,3
52,4,Elogio,2022-04-15,1138.1999999999998,3
53,89,Elogio,2022-04-05,104.4,3
54,60,Reclamação,2023-01-25,227.4,3
55,14,Reclamação,2022-04-10,225.0,2
56,9,Dúvida,2023-01-03,1885.8,4
57,90,Reclamação,2024-05-17,2467.2,5
58,53,Dúvida,2022-12-19,1576.2,1
59,2,Reclamação,2023-09-11,5894.4,4
60,84,Dúvida,2022-09-28,845.4,3
61,92,Elogio,2024-04-06,605.4,4
62,60,Reclamação,2022-02-14,3653.4,5
63,71,Reclamação,2024-01-18,455.4,1
64,44,Reclamação,2023-04-16,5945.400000000001,1
65,8,Reclamação,2023-07-04,22.2,5
66,47,Dúvida,2022-05-08,6304.8,5
67,35,Reclamação,2024-09-23,79.2,3
68,78,Elogio,2024-08-02,3991.8,1
69,81,Elogio,2023-01-23,1350.0,4
70,36,Reclamação,2022-03-22,8922.0,2
71,50,Elogio,2023-07-20,138.0,2
72,4,Reclamação,2022-10-28,1452.6000000000001,5
73,2,Reclamação,2024-04-29,6270.6,3
74,6,Elogio,2023-10-06,1332.6000000000001,2
75,54,Reclamação,2023-09-26,1786.8000000000002,1
76,4,Elogio,2024-06-25,2142.0,5
77,54,Dúvida,2024-06-01,1090.8,4
78,93,Reclamação,2023-01-06,1777.8,5
79,63,Dúvida,2023-08-15,1579.8,4
80,18,Elogio,2022-07-16,4165.8,5
81,90,Dúvida,2023-12-23,84.0,5
82,44,Dúvida,2022-03-13,594.0,5
83,34,Elogio,2022-02-16,5407.200000000001,4
84,74,Dúvida,2023-11-09,3977.4000000000005,4
85,62,Dúvida,2022-08-22,1095.0,5
86,100,Elogio,2024-03-02,1742.3999999999999,2
87,14,Dúvida,2022-10-24,585.0,3
88,95,Elogio,2022-03-23,375.0,3
89,48,Dúvida,2024-05-25,1121.4,3
90,15,Elogio,2022-08-27,784.8,4
91,72,Elogio,2024-06-06,1577.3999999999999,4
92,78,Dúvida,2022-04-14,145.8,2
93,87,Dúvida,2023-01-25,6597.0,3
94,62,Dúvida,2022-10-12,7711.200000000001,3
95,40,Reclamação,2023-04-10,2156.3999999999996,5
96,85,Reclamação,2023-10-13,1382.3999999999999,4
97,80,Reclamação,2024-05-04,666.5999999999999,3
98,82,Elogio,2023-01-09,3025.8,2
99,53,Dúvida,2022-06-16,2077.8,2
100,24,Elogio,2023-01-15,319.20000000000005,3
101,26,Reclamação,2022-12-30,4353.0,4
102,89,Dúvida,2022-08-03,3112.2,2
103,60,Elogio,2023-11-18,5385.0,5
104,41,Dúvida,2022-10-01,2328.6000000000004,2
105,29,Elogio,2023-12-20,1710.6000000000001,1
106,15,Dúvida,2024-08-17,975.0,1
107,45,Reclamação,2023-12-01,4858.2,4
108,65,Reclamação,2023-10-26,3618.6000000000004,3
109,89,Dúvida,2022-03-15,83.39999999999999,4
110,71,Elogio,2023-09-16,48.0,4
111,9,Reclamação,2023-10-13,850.2,4
112,88,Reclamação,2022-06-25,2994.6,4
113,1,Reclamação,2023-07-01,39279.00000000001,5
114,8,Dúvida,2024-01-17,293.4,5
115,88,Dúvida,2022-09-08,1623.0,2
116,63,Elogio,2022-06-17,4314.0,1
117,11,Elogio,2023-04-19,6306.6,4
118,81,Elogio,2023-01-24,16614.000000000004,2
119,8,Dúvida,2022-10-04,3280.2000000000003,1
120,35,Dúvida,2024-08-05,1138.1999999999998,3
121,35,Elogio,2023-10-18,964.8,5
122,33,Elogio,2023-12-06,574.8,1
123,5,Dúvida,2023-07-25,104.4,3
