ID_Atendimento,ID_Cliente,Tipo,Data,Nota_Satisfacao,informações importantes,Tempo_Resp
1,52,Elogio,2023-10-17,2,Bom,887.4
2,93,Dúvida,2022-04-25,4,Bom,19.8
3,15,Reclamação,2022-01-26,1,Ruim,4244.4
4,72,Elogio,2024-01-30,5,Bom,861.0
5,61,Reclamação,2022-10-09,1,Bom,692.4
6,21,Dúvida,2022-09-08,1,Ruim,5394.599999999999
7,83,Dúvida,2022-08-17,1,Ruim,5414.4
8,87,Elogio,2022-05-23,3,Bom,1533.6
9,75,Dúvida,2024-01-25,3,Bom,1798.8
10,75,Reclamação,2022-04-15,1,Bom,1071.0
11,88,Elogio,2023-11-24,5,Ruim,3123.0
12,100,Reclamação,2024-01-29,4,Bom,717.0
13,24,Reclamação,2024-07-02,4,Bom,2009.4
14,3,Dúvida,2023-07-13,2,Ruim,2512.8
15,22,Dúvida,2022-03-31,5,Ruim,2823.0
16,53,Dúvida,2023-08-28,3,Ruim,2805.6
17,2,Dúvida,2023-03-09,1,Bom,172.20000000000002
18,88,Dúvida,2022-02-02,2,Bom,1227.6000000000001
19,30,Elogio,2022-01-31,4,Bom,106.8
20,38,Reclamação,2022-04-06,3,Bom,1435.2
21,2,Reclamação,2022-08-12,3,Bom,1048.8
22,64,Reclamação,2022-08-27,1,Ruim,3935.9999999999995
23,60,Reclamação,2023-06-02,4,Bom,778.2
24,21,Dúvida,2023-09-09,5,Bom,224.4
25,33,Reclamação,2022-01-28,3,Bom,277.8
26,76,Elogio,2023-07-29,1,Ruim,2580.0
27,58,Elogio,2022-07-23,5,Bom,1733.4
28,22,Reclamação,2024-01-04,4,Bom,192.0
29,89,Reclamação,2023-10-28,3,Bom,158.4
30,49,Elogio,2023-12-20,5,Médio,2173.2
31,91,Elogio,2023-07-13,5,Bom,136.2
32,59,Dúvida,2023-03-06,5,Ruim,3105.6
33,42,Elogio,2022-08-14,3,Ruim,11025.0
34,92,Dúvida,2023-04-05,3,Bom,153.0
35,60,Dúvida,2023-08-27,2,Bom,159.60000000000002
36,80,Dúvida,2022-10-12,4,Ruim,7767.6
37,15,Dúvida,2024-04-08,1,Ruim,4221.0
38,62,Dúvida,2024-06-09,5,Bom,833.4000000000001
39,62,Reclamação,2022-01-07,2,Ruim,3016.2000000000003
40,47,Elogio,2024-02-17,1,Ruim,5295.6
41,62,Dúvida,2024-04-05,2,Ruim,7683.6
42,51,Elogio,2022-06-13,3,Ruim,2520.0
43,55,Elogio,2023-12-16,5,Bom,849.6
44,64,Dúvida,2023-03-09,1,Bom,157.20000000000002
45,3,Reclamação,2022-12-15,1,Ruim,2702.4
46,51,Dúvida,2022-10-12,1,Bom,1471.2
47,7,Reclamação,2022-06-09,1,Bom,993.5999999999999
48,21,Elogio,2022-08-09,1,Ruim,4263.0
49,73,Reclamação,2024-09-07,2,Bom,212.4
50,39,Reclamação,2024-02-21,5,Bom,1221.6
51,18,Reclamação,2022-12-11,3,Bom,20.400000000000002
52,4,Elogio,2022-04-15,3,Bom,1138.1999999999998
53,89,Elogio,2022-04-05,3,Bom,104.4
54,60,Reclamação,2023-01-25,3,Bom,227.4
55,14,Reclamação,2022-04-10,2,Bom,225.0
56,9,Dúvida,2023-01-03,4,Bom,1885.8
57,90,Reclamação,2024-05-17,5,Ruim,2467.2
58,53,Dúvida,2022-12-19,1,Bom,1576.2
59,2,Reclamação,2023-09-11,4,Ruim,5894.4
60,84,Dúvida,2022-09-28,3,Bom,845.4
61,92,Elogio,2024-04-06,4,Bom,605.4
62,60,Reclamação,2022-02-14,5,Ruim,3653.4
63,71,Reclamação,2024-01-18,1,Bom,455.4
64,44,Reclamação,2023-04-16,1,Ruim,5945.400000000001
65,8,Reclamação,2023-07-04,5,Bom,22.2
66,47,Dúvida,2022-05-08,5,Ruim,6304.8
67,35,Reclamação,2024-09-23,3,Bom,79.2
68,78,Elogio,2024-08-02,1,Ruim,3991.8
69,81,Elogio,2023-01-23,4,Bom,1350.0
70,36,Reclamação,2022-03-22,2,Ruim,8922.0
71,50,Elogio,2023-07-20,2,Bom,138.0
72,4,Reclamação,2022-10-28,5,Bom,1452.6000000000001
73,2,Reclamação,2024-04-29,3,Ruim,6270.6
74,6,Elogio,2023-10-06,2,Bom,1332.6000000000001
75,54,Reclamação,2023-09-26,1,Bom,1786.8000000000002
76,4,Elogio,2024-06-25,5,Médio,2142.0
77,54,Dúvida,2024-06-01,4,Bom,1090.8
78,93,Reclamação,2023-01-06,5,Bom,1777.8
79,63,Dúvida,2023-08-15,4,Bom,1579.8
80,18,Elogio,2022-07-16,5,Ruim,4165.8
81,90,Dúvida,2023-12-23,5,Bom,84.0
82,44,Dúvida,2022-03-13,5,Bom,594.0
83,34,Elogio,2022-02-16,4,Ruim,5407.200000000001
84,74,Dúvida,2023-11-09,4,Ruim,3977.4000000000005
85,62,Dúvida,2022-08-22,5,Bom,1095.0
86,100,Elogio,2024-03-02,2,Bom,1742.3999999999999
87,14,Dúvida,2022-10-24,3,Bom,585.0
88,95,Elogio,2022-03-23,3,Bom,375.0
89,48,Dúvida,2024-05-25,3,Bom,1121.4
90,15,Elogio,2022-08-27,4,Bom,784.8
91,72,Elogio,2024-06-06,4,Bom,1577.3999999999999
92,78,Dúvida,2022-04-14,2,Bom,145.8
93,87,Dúvida,2023-01-25,3,Ruim,6597.0
