ID_Atendimento,ID_Cliente,Tipo,Data,Tempo_Resposta,Nota_Satisfacao,informações importantes
1,52,Elogio,2023-10-17,14.79,2,Bom
2,93,Dúvida,2022-04-25,0.33,4,Bom
3,15,Reclamação,2022-01-26,70.74,1,Ruim
4,72,Elogio,2024-01-30,14.35,5,Bom
5,61,Reclamação,2022-10-09,11.54,1,Bom
6,21,Dúvida,2022-09-08,89.91,1,Ruim
7,83,Dúvida,2022-08-17,90.24,1,Ruim
8,87,Elogio,2022-05-23,25.56,3,Bom
9,75,Dúvida,2024-01-25,29.98,3,Bom
10,75,Reclamação,2022-04-15,17.85,1,Bom
11,88,Elogio,2023-11-24,52.05,5,Ruim
12,100,Reclamação,2024-01-29,11.95,4,Bom
13,24,Reclamação,2024-07-02,33.49,4,Bom
14,3,Dúvida,2023-07-13,41.88,2,Ruim
15,22,Dúvida,2022-03-31,47.05,5,Ruim
16,53,Dúvida,2023-08-28,46.76,3,Ruim
17,2,Dúvida,2023-03-09,2.87,1,Bom
18,88,Dúvida,2022-02-02,20.46,2,Bom
19,30,Elogio,2022-01-31,1.78,4,Bom
20,38,Reclamação,2022-04-06,23.92,3,Bom
21,2,Reclamação,2022-08-12,17.48,3,Bom
22,64,Reclamação,2022-08-27,65.6,1,Ruim
23,60,Reclamação,2023-06-02,12.97,4,Bom
24,21,Dúvida,2023-09-09,3.74,5,Bom
25,33,Reclamação,2022-01-28,4.63,3,Bom
26,76,Elogio,2023-07-29,43.0,1,Ruim
27,58,Elogio,2022-07-23,28.89,5,Bom
28,22,Reclamação,2024-01-04,3.2,4,Bom
29,89,Reclamação,2023-10-28,2.64,3,Bom
30,49,Elogio,2023-12-20,36.22,5,Médio
31,91,Elogio,2023-07-13,2.27,5,Bom
32,59,Dúvida,2023-03-06,51.76,5,Ruim
33,42,Elogio,2022-08-14,183.75,3,Ruim
34,92,Dúvida,2023-04-05,2.55,3,Bom
35,60,Dúvida,2023-08-27,2.66,2,Bom
36,80,Dúvida,2022-10-12,129.46,4,Ruim
37,15,Dúvida,2024-04-08,70.35,1,Ruim
38,62,Dúvida,2024-06-09,13.89,5,Bom
39,62,Reclamação,2022-01-07,50.27,2,Ruim
40,47,Elogio,2024-02-17,88.26,1,Ruim
41,62,Dúvida,2024-04-05,128.06,2,Ruim
42,51,Elogio,2022-06-13,42.0,3,Ruim
43,55,Elogio,2023-12-16,14.16,5,Bom
44,64,Dúvida,2023-03-09,2.62,1,Bom
45,3,Reclamação,2022-12-15,45.04,1,Ruim
46,51,Dúvida,2022-10-12,24.52,1,Bom
47,7,Reclamação,2022-06-09,16.56,1,Bom
48,21,Elogio,2022-08-09,71.05,1,Ruim
49,73,Reclamação,2024-09-07,3.54,2,Bom
50,39,Reclamação,2024-02-21,20.36,5,Bom
51,18,Reclamação,2022-12-11,0.34,3,Bom
52,4,Elogio,2022-04-15,18.97,3,Bom
53,89,Elogio,2022-04-05,1.74,3,Bom
54,60,Reclamação,2023-01-25,3.79,3,Bom
55,14,Reclamação,2022-04-10,3.75,2,Bom
56,9,Dúvida,2023-01-03,31.43,4,Bom
57,90,Reclamação,2024-05-17,41.12,5,Ruim
58,53,Dúvida,2022-12-19,26.27,1,Bom
59,2,Reclamação,2023-09-11,98.24,4,Ruim
60,84,Dúvida,2022-09-28,14.09,3,Bom
61,92,Elogio,2024-04-06,10.09,4,Bom
62,60,Reclamação,2022-02-14,60.89,5,Ruim
