nome_produto,count
Fire TV Stick Amazon,231
Câmera Canon EOS Rebel,230
Smartphone iPhone 13,230
Fone de Ouvido JBL,229
Cabo USB-C,229
Filtro de Linha,228
Impressora HP Deskjet,227
Controle Remoto Universal,226
Micro-ondas Electrolux,225
Controle Xbox,225
Echo Dot Amazon,225
Notebook Lenovo Ideapad,224
Placa-mãe ASUS,223
Fritadeira Airfryer Mondial,222
Tablet Samsung Galaxy Tab,222
Máquina de Lavar 8kg,222
Extensão Elétrica,221
Estabilizador APC,215
Cadeira Gamer ThunderX3,214
Mouse Gamer Redragon,213
Volante Logitech G29,209
Smartwatch Xiaomi,204
Gabinete Gamer Cooler Master,201
Mouse ,44
